               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.085133,             0.16072,                   0,             0.10288,             0.39823,            0.091354,            0.025883,            0.079708,            0.082286,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.083898,             0.15211,                   0,             0.11549,             0.38938,            0.099709,             0.03059,            0.079728,             0.08175,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.081973,             0.15078,                   0,             0.11021,             0.38938,             0.10128,            0.030809,            0.079755,            0.081532,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.081314,             0.15354,                   0,             0.11207,              0.3697,             0.10231,            0.031926,            0.079676,             0.08031,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.084552,             0.16074,                   0,            0.099474,             0.46903,             0.11021,            0.031781,            0.079367,            0.080457,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.082426,             0.16013,                   0,              0.1132,             0.40708,             0.10749,            0.032187,            0.079471,            0.083964,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.082778,             0.16052,                   0,             0.12709,             0.39823,             0.10289,            0.032031,            0.079606,            0.086231,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.080799,              0.1579,                   0,             0.12734,             0.38938,             0.10192,            0.030733,            0.079661,            0.087038,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.08326,             0.15968,                   0,             0.13258,             0.33628,               0.104,            0.030426,            0.079438,            0.085995,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.082474,             0.15129,                   0,             0.13874,             0.30973,             0.10259,            0.030628,            0.079475,            0.086023,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.082937,             0.15412,                   0,             0.13394,             0.35398,            0.099463,            0.030142,            0.079619,            0.086871,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.080263,              0.1367,                   0,             0.12574,             0.35398,            0.090874,            0.028201,            0.079672,            0.087098,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.080162,             0.13962,                   0,              0.1244,             0.36283,            0.091121,             0.03059,            0.079773,            0.087375,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.082101,              0.1645,                   0,             0.13193,             0.33628,            0.099798,            0.030822,            0.079723,            0.084854,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.083656,             0.15749,                   0,             0.15408,             0.33628,             0.11992,            0.035177,            0.079645,            0.081694,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.081999,             0.14775,                   0,             0.16553,             0.32743,             0.11812,            0.033223,            0.079573,            0.080717,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.083417,              0.1628,                   0,             0.18065,             0.33628,             0.12645,            0.033438,            0.079477,            0.079405,                   0,            0.002971,            0.002971,            0.002971
                  73,              0.0829,             0.17101,                   0,             0.15889,             0.35398,             0.12043,            0.032892,            0.079603,            0.080694,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.08209,              0.1706,                   0,             0.15173,             0.32743,               0.117,            0.031583,            0.079522,            0.081091,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.083124,             0.15218,                   0,             0.15961,             0.30088,             0.11768,            0.031556,            0.079468,            0.081367,                   0,            0.002674,            0.002674,            0.002674
