               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.085145,             0.15731,                   0,            0.044149,             0.43363,            0.053039,            0.012349,            0.078499,            0.084202,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.087443,             0.15861,                   0,            0.044679,             0.43363,            0.052743,            0.012002,             0.07859,            0.085454,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.086358,             0.15005,                   0,            0.045381,             0.44248,            0.056311,            0.013878,            0.078537,            0.085112,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.084591,             0.14952,                   0,            0.046606,             0.44248,            0.059745,            0.014626,            0.078453,             0.08415,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.08333,             0.15225,                   0,            0.049727,             0.43363,             0.06778,            0.016784,            0.078413,            0.081803,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.086364,             0.15811,                   0,            0.050206,             0.42478,             0.07041,            0.017365,            0.078185,            0.082039,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.085414,             0.15626,                   0,              0.0645,             0.41593,            0.078172,            0.018475,            0.078038,            0.080275,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.085709,             0.15592,                   0,            0.075122,             0.39823,            0.098153,            0.026209,            0.078582,            0.081594,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.083597,             0.15389,                   0,            0.094088,             0.39823,             0.10043,            0.027008,            0.078938,            0.083868,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.085519,             0.15629,                   0,            0.070937,             0.40708,             0.11631,            0.026113,            0.078819,            0.087348,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.084941,             0.14879,                   0,            0.089647,             0.37168,            0.098646,            0.022212,            0.079203,            0.086918,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.085438,             0.15184,                   0,             0.10815,             0.31858,            0.096417,            0.022076,            0.079389,             0.08784,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.083207,             0.13456,                   0,             0.07884,             0.37168,             0.12425,            0.027094,            0.079134,            0.089436,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.083227,             0.13729,                   0,            0.092033,             0.37168,             0.12857,            0.028559,            0.079272,            0.088324,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.084991,             0.16225,                   0,             0.11091,             0.31858,             0.13162,            0.031438,            0.078927,            0.085056,                   0,            0.003268,            0.003268,            0.003268
